epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1092.5,1.51964,1.67993,1.42361,0.33295,0.30915,0.35006,0.20148,2.29471,2.31136,1.95667,0.0700089,0.00333234,0.00333234
2,2237,1.43101,1.38556,1.33262,0.2792,0.2627,0.38841,0.22984,2.36691,2.50451,2.06138,0.0399429,0.00659968,0.00659968
3,3390.49,1.48291,1.4622,1.36111,0.24233,0.25473,0.419,0.25589,2.35446,2.50938,2.02077,0.00981096,0.00980103,0.00980103
4,4539.25,1.49202,1.4699,1.37433,0.29122,0.29533,0.44422,0.27971,2.29062,2.3917,2.01405,0.009703,0.009703,0.009703
5,5669.9,1.43346,1.3868,1.34854,0.33924,0.3172,0.4709,0.30831,2.25058,2.29008,1.93531,0.009604,0.009604,0.009604
6,6717.29,1.38888,1.33698,1.32941,0.34006,0.29784,0.48789,0.32428,2.21963,2.2976,1.92503,0.009505,0.009505,0.009505
7,7755.47,1.35381,1.2887,1.30948,0.36711,0.33633,0.50599,0.34744,2.21759,2.20267,1.92517,0.009406,0.009406,0.009406
8,8792.84,1.32398,1.24927,1.29348,0.36609,0.31812,0.51871,0.36359,2.17955,2.25541,1.9119,0.009307,0.009307,0.009307
9,9812.47,1.30796,1.22473,1.28683,0.37105,0.36256,0.53295,0.38225,2.14283,2.15607,1.90814,0.009208,0.009208,0.009208
10,10775.5,1.29051,1.20338,1.27859,0.41899,0.3628,0.55343,0.39934,2.14436,2.12512,1.89873,0.009109,0.009109,0.009109
11,11737.8,1.28115,1.18371,1.26734,0.40579,0.36948,0.56802,0.41025,2.12895,2.09488,1.84336,0.00901,0.00901,0.00901
12,12698.9,1.25674,1.16027,1.26022,0.40272,0.3709,0.57692,0.42442,2.12963,2.07746,1.83206,0.008911,0.008911,0.008911
13,13659.6,1.25977,1.14846,1.25456,0.39289,0.38519,0.58218,0.42237,2.13907,2.06558,1.86393,0.008812,0.008812,0.008812
14,14621.8,1.25039,1.14655,1.25063,0.42467,0.39891,0.59126,0.43755,2.10175,2.04367,1.84087,0.008713,0.008713,0.008713
15,15583.6,1.24674,1.13124,1.24568,0.41687,0.39823,0.59639,0.4315,2.10035,2.07802,1.83891,0.008614,0.008614,0.008614
16,16548.4,1.23165,1.11696,1.23896,0.40028,0.39692,0.60264,0.42824,2.07951,2.06082,1.83802,0.008515,0.008515,0.008515
17,17516.2,1.21825,1.10301,1.23345,0.41256,0.40259,0.60615,0.4351,2.10559,1.9977,1.77766,0.008416,0.008416,0.008416
18,18483.8,1.2076,1.07937,1.22295,0.41247,0.41729,0.61012,0.43365,2.11632,1.99487,1.79895,0.008317,0.008317,0.008317
19,19451.8,1.2031,1.07515,1.21996,0.40681,0.40913,0.61107,0.43043,2.13551,2.02984,1.79511,0.008218,0.008218,0.008218
20,20421.3,1.2054,1.06578,1.21577,0.41864,0.43767,0.6162,0.44104,2.09934,1.956,1.78631,0.008119,0.008119,0.008119
21,21388.3,1.1899,1.05526,1.20977,0.44083,0.41189,0.62246,0.44589,2.08547,1.95345,1.77147,0.00802,0.00802,0.00802
22,22353.4,1.19028,1.05916,1.21626,0.43434,0.42458,0.63189,0.44885,2.07302,1.93995,1.76569,0.007921,0.007921,0.007921
23,23316.7,1.18171,1.04198,1.20853,0.42343,0.41608,0.63444,0.43828,2.10549,1.93766,1.79166,0.007822,0.007822,0.007822
24,24282.4,1.17808,1.03441,1.20534,0.44284,0.43625,0.64337,0.452,2.0614,1.92781,1.74196,0.007723,0.007723,0.007723
25,25250.3,1.17659,1.03274,1.20462,0.44235,0.44251,0.64323,0.44904,2.08349,1.91296,1.76042,0.007624,0.007624,0.007624
26,26218.1,1.1684,1.03408,1.19886,0.44441,0.4422,0.6498,0.45493,2.06136,1.9022,1.74836,0.007525,0.007525,0.007525
27,27186.1,1.16346,1.02022,1.19867,0.45374,0.4386,0.65132,0.45512,2.06694,1.8879,1.75181,0.007426,0.007426,0.007426
28,28156.4,1.15603,1.00849,1.19046,0.4725,0.43186,0.66443,0.45988,2.06132,1.89182,1.75862,0.007327,0.007327,0.007327
29,29125.1,1.15976,1.00982,1.19354,0.44858,0.46233,0.65795,0.45571,2.09382,1.86897,1.75421,0.007228,0.007228,0.007228
30,30094.2,1.14502,0.99545,1.18691,0.47411,0.43775,0.67065,0.46559,2.0449,1.85698,1.74199,0.007129,0.007129,0.007129
31,31062.5,1.15629,1.00297,1.19083,0.46299,0.44671,0.66026,0.46169,2.03507,1.86898,1.73093,0.00703,0.00703,0.00703
32,32036.6,1.14531,0.9839,1.18119,0.47379,0.4382,0.66578,0.46251,2.06494,1.85116,1.72061,0.006931,0.006931,0.006931
33,33003.1,1.13918,0.986,1.18042,0.48294,0.45652,0.6732,0.46938,2.05143,1.82517,1.71913,0.006832,0.006832,0.006832
34,33969.3,1.14469,0.98402,1.18563,0.47648,0.44556,0.668,0.46823,2.06191,1.81857,1.73116,0.006733,0.006733,0.006733
35,34933.8,1.13929,0.97602,1.18176,0.46749,0.47905,0.68577,0.47452,2.05134,1.80998,1.72271,0.006634,0.006634,0.006634
36,35903.6,1.12677,0.96656,1.17466,0.47887,0.46536,0.67517,0.47191,2.0458,1.79476,1.71072,0.006535,0.006535,0.006535
37,36867.2,1.12209,0.95246,1.17061,0.48616,0.47459,0.68769,0.4786,2.0292,1.7946,1.71631,0.006436,0.006436,0.006436
38,37826.7,1.12349,0.954,1.16874,0.45657,0.47267,0.678,0.47324,2.03652,1.79616,1.70844,0.006337,0.006337,0.006337
39,38786.6,1.12122,0.95456,1.17261,0.4681,0.46598,0.68093,0.47534,2.02904,1.78742,1.71002,0.006238,0.006238,0.006238
40,39753.5,1.12306,0.95212,1.1712,0.4851,0.47066,0.68977,0.47947,2.02435,1.77546,1.70769,0.006139,0.006139,0.006139
41,40724.4,1.12233,0.94695,1.16926,0.47697,0.48046,0.69613,0.48176,2.02668,1.76123,1.69951,0.00604,0.00604,0.00604
42,41692,1.12101,0.94151,1.16561,0.49645,0.47763,0.69773,0.48201,2.02822,1.78243,1.69527,0.005941,0.005941,0.005941
43,42632.4,1.10756,0.9393,1.16376,0.48692,0.48636,0.69968,0.48434,2.01933,1.76328,1.6992,0.005842,0.005842,0.005842
44,43603.4,1.10631,0.92251,1.15622,0.51066,0.48294,0.71254,0.48921,2.02955,1.74564,1.69858,0.005743,0.005743,0.005743
45,44573.6,1.10389,0.92475,1.15868,0.5304,0.48959,0.72164,0.49177,2.02729,1.73137,1.68782,0.005644,0.005644,0.005644
46,45542.5,1.09944,0.9233,1.15874,0.52193,0.49731,0.72297,0.49475,2.01331,1.72186,1.6779,0.005545,0.005545,0.005545
47,46513.4,1.09975,0.91616,1.15548,0.51472,0.50439,0.72763,0.49705,2.01818,1.70813,1.67752,0.005446,0.005446,0.005446
48,47484.8,1.09068,0.91189,1.15151,0.51037,0.50284,0.72925,0.4966,2.02432,1.70241,1.68277,0.005347,0.005347,0.005347
49,48456.1,1.09591,0.90874,1.15417,0.51189,0.49954,0.72685,0.49449,2.02563,1.70782,1.68541,0.005248,0.005248,0.005248
50,49426,1.0891,0.9034,1.15054,0.51576,0.49924,0.72706,0.49582,2.02315,1.7066,1.68235,0.005149,0.005149,0.005149
51,50398.4,1.08999,0.89772,1.14714,0.51741,0.49628,0.72756,0.49634,2.02427,1.70505,1.68252,0.00505,0.00505,0.00505
52,51366.9,1.09561,0.90478,1.14974,0.51905,0.49293,0.72852,0.49729,2.02202,1.70319,1.68407,0.004951,0.004951,0.004951
53,52336.1,1.08384,0.88966,1.14396,0.52124,0.49426,0.73384,0.49885,2.02423,1.68586,1.68368,0.004852,0.004852,0.004852
54,53305.5,1.08556,0.89083,1.14341,0.52763,0.50687,0.73529,0.50062,2.0218,1.67884,1.68122,0.004753,0.004753,0.004753
55,54275.9,1.08943,0.89074,1.14652,0.52398,0.50681,0.73396,0.50069,2.02483,1.67127,1.67957,0.004654,0.004654,0.004654
56,55245.5,1.07352,0.87851,1.13642,0.53415,0.50549,0.74002,0.50165,2.02612,1.66328,1.67649,0.004555,0.004555,0.004555
57,56214,1.07351,0.87689,1.13633,0.52785,0.50854,0.74464,0.50377,2.01917,1.65575,1.67013,0.004456,0.004456,0.004456
58,57186.3,1.07067,0.86859,1.13593,0.52666,0.5135,0.74889,0.50551,2.01659,1.6578,1.66972,0.004357,0.004357,0.004357
59,58187.8,1.05709,0.85962,1.12832,0.52475,0.51932,0.7486,0.50561,2.01353,1.65958,1.66779,0.004258,0.004258,0.004258
60,59192.1,1.06932,0.86648,1.13532,0.51995,0.51996,0.74908,0.50674,2.01376,1.65413,1.66903,0.004159,0.004159,0.004159
61,60183.1,1.06704,0.8614,1.13146,0.52767,0.51856,0.75093,0.50743,2.01562,1.65068,1.66903,0.00406,0.00406,0.00406
62,61184.6,1.06344,0.85842,1.13308,0.53176,0.5237,0.75224,0.50915,2.0113,1.64645,1.66815,0.003961,0.003961,0.003961
63,62173.2,1.06483,0.85749,1.13226,0.53266,0.52022,0.75334,0.50906,2.00924,1.64248,1.66737,0.003862,0.003862,0.003862
64,63176.3,1.05541,0.84806,1.12586,0.53805,0.52456,0.75507,0.50989,2.00814,1.63809,1.66717,0.003763,0.003763,0.003763
65,64165.1,1.05912,0.84442,1.12756,0.54191,0.51844,0.75312,0.51104,2.00566,1.63275,1.66573,0.003664,0.003664,0.003664
66,65156.4,1.05447,0.83801,1.12308,0.54145,0.51735,0.75448,0.51099,2.00541,1.62899,1.66454,0.003565,0.003565,0.003565
