epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.952,1.22129,1.47398,1.41953,0.29146,0.27585,0.20639,0.06975,2.00793,2.0428,1.98039,0.00333234,0.00333234,0.00333234
2,1183.33,1.04418,1.09113,1.25936,0.31454,0.27591,0.22244,0.07714,2.01272,1.96937,1.96758,0.00653369,0.00653369,0.00653369
3,1766.66,1.07884,1.13012,1.27996,0.26447,0.28736,0.18583,0.06262,2.03654,2.0572,2.00317,0.00960305,0.00960305,0.00960305
4,2345.93,1.11359,1.15582,1.30618,0.3196,0.30515,0.24173,0.08214,2.01253,1.96325,1.99983,0.009406,0.009406,0.009406
5,2920.52,1.05696,1.0774,1.27845,0.2901,0.32303,0.24065,0.0828,2.02022,1.95151,1.98358,0.009208,0.009208,0.009208
6,3487.73,1.01219,1.02216,1.25248,0.34042,0.3344,0.26406,0.09364,1.99567,1.88105,1.94239,0.00901,0.00901,0.00901
7,4068.94,0.99876,0.99443,1.24654,0.33223,0.33494,0.26871,0.09889,1.90404,1.87316,1.8886,0.008812,0.008812,0.008812
8,4648.12,0.97581,0.96149,1.23044,0.33992,0.32823,0.27256,0.09919,1.92797,1.87547,1.90932,0.008614,0.008614,0.008614
9,5265.77,0.96351,0.94143,1.22343,0.40631,0.36295,0.32758,0.11637,1.91982,1.77303,1.886,0.008416,0.008416,0.008416
10,5964.88,0.94528,0.91931,1.2143,0.37587,0.37612,0.32232,0.11407,1.89353,1.78047,1.88025,0.008218,0.008218,0.008218
11,6664.96,0.94229,0.90495,1.20943,0.38732,0.38122,0.33696,0.12563,1.89579,1.74952,1.86858,0.00802,0.00802,0.00802
12,7352.37,0.92948,0.89206,1.20497,0.41951,0.40126,0.35843,0.13405,1.88011,1.73921,1.85227,0.007822,0.007822,0.007822
13,8051.52,0.9183,0.86952,1.19515,0.42067,0.40585,0.3751,0.14099,1.86975,1.68116,1.86111,0.007624,0.007624,0.007624
14,8744.58,0.91075,0.85966,1.18963,0.44797,0.42382,0.39805,0.14759,1.87252,1.67123,1.85385,0.007426,0.007426,0.007426
15,9442.48,0.89881,0.84149,1.18119,0.42375,0.4024,0.3734,0.1385,1.8821,1.68342,1.83407,0.007228,0.007228,0.007228
16,10141.2,0.90209,0.8481,1.18733,0.4352,0.41831,0.38773,0.14747,1.88304,1.66265,1.85697,0.00703,0.00703,0.00703
17,10782.4,0.8838,0.82151,1.17115,0.44768,0.40583,0.38859,0.14622,1.87875,1.64998,1.82321,0.006832,0.006832,0.006832
18,11355.1,0.88328,0.81692,1.16718,0.45667,0.4267,0.4041,0.15375,1.87617,1.61022,1.80094,0.006634,0.006634,0.006634
19,11913.5,0.87031,0.80551,1.1581,0.46389,0.41526,0.40449,0.15725,1.85496,1.62429,1.77821,0.006436,0.006436,0.006436
20,12472,0.87207,0.80041,1.16492,0.46936,0.43667,0.42106,0.16338,1.84379,1.60895,1.80742,0.006238,0.006238,0.006238
21,13026.5,0.86527,0.78777,1.15591,0.43864,0.44218,0.40643,0.15605,1.85712,1.60557,1.77981,0.00604,0.00604,0.00604
22,13581.2,0.86202,0.78515,1.1585,0.45807,0.45805,0.4282,0.16969,1.83511,1.56245,1.77246,0.005842,0.005842,0.005842
23,14136.4,0.85288,0.77683,1.14938,0.47283,0.453,0.43718,0.17126,1.84267,1.55082,1.78821,0.005644,0.005644,0.005644
24,14691.7,0.84747,0.7604,1.14449,0.47001,0.45989,0.44036,0.17088,1.84046,1.54956,1.77523,0.005446,0.005446,0.005446
25,15247.7,0.84401,0.75564,1.14138,0.4774,0.46269,0.44745,0.17784,1.81668,1.54738,1.74954,0.005248,0.005248,0.005248
26,15803.6,0.84531,0.75358,1.1405,0.48102,0.46764,0.44307,0.1722,1.82903,1.52344,1.77311,0.00505,0.00505,0.00505
27,16359.3,0.8359,0.74677,1.13891,0.49482,0.47125,0.45377,0.17994,1.8308,1.51698,1.78108,0.004852,0.004852,0.004852
28,16916.5,0.83089,0.73733,1.13552,0.49755,0.46831,0.45316,0.18078,1.81825,1.52466,1.76638,0.004654,0.004654,0.004654
29,17471.2,0.82852,0.73154,1.13303,0.50415,0.47887,0.45962,0.18538,1.82486,1.49694,1.75764,0.004456,0.004456,0.004456
30,18027.6,0.82099,0.71923,1.12467,0.49857,0.48504,0.46548,0.18546,1.83899,1.48836,1.75787,0.004258,0.004258,0.004258
31,18585.3,0.81595,0.70898,1.12319,0.5022,0.49049,0.46654,0.18361,1.83749,1.47065,1.766,0.00406,0.00406,0.00406
32,19144.9,0.81136,0.70093,1.11792,0.49627,0.5001,0.47772,0.19428,1.82737,1.4586,1.74768,0.003862,0.003862,0.003862
33,19703.5,0.81288,0.70186,1.12204,0.5303,0.47919,0.48418,0.19498,1.82063,1.45107,1.74165,0.003664,0.003664,0.003664
34,20264.1,0.81335,0.70027,1.12004,0.52158,0.4892,0.48073,0.19553,1.82226,1.45604,1.74361,0.003466,0.003466,0.003466
35,20819.3,0.80266,0.68787,1.11425,0.52543,0.49647,0.49338,0.20057,1.81424,1.44054,1.73698,0.003268,0.003268,0.003268
36,21377.3,0.79468,0.6772,1.10759,0.52633,0.50964,0.50031,0.20506,1.8156,1.42076,1.74102,0.00307,0.00307,0.00307
37,21935.8,0.79923,0.67397,1.11111,0.54147,0.50218,0.50578,0.20862,1.81492,1.41415,1.74223,0.002872,0.002872,0.002872
38,22497,0.78721,0.66696,1.10265,0.53587,0.50514,0.50548,0.20834,1.80271,1.41319,1.72702,0.002674,0.002674,0.002674
39,23055.5,0.79031,0.66491,1.10442,0.53132,0.51077,0.51789,0.21342,1.80903,1.39447,1.73132,0.002476,0.002476,0.002476
40,23611.5,0.77715,0.64717,1.09467,0.5487,0.49793,0.51441,0.21229,1.82039,1.39573,1.73459,0.002278,0.002278,0.002278
41,24190.7,0.74841,0.56073,1.06476,0.53105,0.524,0.51331,0.21158,1.81862,1.38919,1.74051,0.00208,0.00208,0.00208
42,24741,0.74194,0.54845,1.05936,0.55209,0.50725,0.51309,0.21156,1.81094,1.38964,1.74134,0.001882,0.001882,0.001882
43,25288.9,0.73487,0.53485,1.05713,0.54509,0.52509,0.5213,0.21621,1.81967,1.37536,1.74271,0.001684,0.001684,0.001684
44,25837.9,0.72399,0.52114,1.04809,0.56621,0.52253,0.52772,0.21771,1.82252,1.36156,1.74052,0.001486,0.001486,0.001486
45,26385.9,0.71855,0.50639,1.04211,0.57003,0.52147,0.5254,0.21639,1.82964,1.35546,1.74134,0.001288,0.001288,0.001288
46,26933.1,0.71255,0.49748,1.03762,0.56714,0.52346,0.52841,0.21837,1.83092,1.34261,1.74212,0.00109,0.00109,0.00109
47,27483.1,0.70702,0.48479,1.03349,0.57336,0.51994,0.5286,0.21998,1.8355,1.33986,1.74196,0.000892,0.000892,0.000892
48,28030,0.70008,0.47613,1.02987,0.56543,0.53031,0.52887,0.22147,1.83876,1.33948,1.74356,0.000694,0.000694,0.000694
